timestamp,site,lat,lon,zoom,size,scale,file,url,error
2025-11-28T21:30:10.381628Z,walmart_01_1000_Gerrard_St_E_Toronto_ON_M4M_0A5,43.66873352171418,-79.34015786,20,640x640,2,walmart_locations/images_hires/walmart_01_1000_Gerrard_St_E_Toronto_ON_M4M_0A5_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.66873352171418%2C-79.34015786&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:11.137615Z,walmart_02_900_Dufferin_St_Toronto_ON_M6H_4A9,43.656392,-79.434632,20,640x640,2,walmart_locations/images_hires/walmart_02_900_Dufferin_St_Toronto_ON_M6H_4A9_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.656392%2C-79.434632&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:12.096184Z,walmart_03_2525_St_Clair_Ave_W_Toronto_ON_M6N_4Z5,43.667847,-79.486081,20,640x640,2,walmart_locations/images_hires/walmart_03_2525_St_Clair_Ave_W_Toronto_ON_M6N_4Z5_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.667847%2C-79.486081&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:12.777111Z,walmart_04_165_N_Queen_St_Toronto_ON_M9C_1A7,43.61813884580267,-79.5555756,20,640x640,2,walmart_locations/images_hires/walmart_04_165_N_Queen_St_Toronto_ON_M9C_1A7_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.61813884580267%2C-79.5555756&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:13.509513Z,walmart_05_2245_Islington_Ave_Toronto_ON_M9W_3W6,43.71506697576818,-79.55383854,20,640x640,2,walmart_locations/images_hires/walmart_05_2245_Islington_Ave_Toronto_ON_M9W_3W6_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.71506697576818%2C-79.55383854&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:14.336716Z,walmart_06_1500_Dundas_St_E_Mississauga_ON_L4X_1L4,43.60976353591615,-79.57835677,20,640x640,2,walmart_locations/images_hires/walmart_06_1500_Dundas_St_E_Mississauga_ON_L4X_1L4_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.60976353591615%2C-79.57835677&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:15.027301Z,walmart_07_1305_Lawrence_Ave_W_Toronto_ON_M6L_1A5,43.708221684457015,-79.47487462,20,640x640,2,walmart_locations/images_hires/walmart_07_1305_Lawrence_Ave_W_Toronto_ON_M6L_1A5_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.708221684457015%2C-79.47487462&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:15.900361Z,walmart_08_1900_Eglinton_Ave_E_Scarborough_ON_M1L_2L9,43.72732200962143,-79.29501976,20,640x640,2,walmart_locations/images_hires/walmart_08_1900_Eglinton_Ave_E_Scarborough_ON_M1L_2L9_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.72732200962143%2C-79.29501976&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:16.812971Z,walmart_09_2202_Jane_St_North_York_ON_M3M_1A4,43.722054952568584,-79.51004539,20,640x640,2,walmart_locations/images_hires/walmart_09_2202_Jane_St_North_York_ON_M3M_1A4_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.722054952568584%2C-79.51004539&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
2025-11-28T21:30:17.595751Z,walmart_10_3757_Keele_St_Toronto_ON_M3J_1N4,43.758034992722806,-79.48769811,20,640x640,2,walmart_locations/images_hires/walmart_10_3757_Keele_St_Toronto_ON_M3J_1N4_z20_640x640-2x.png,https://maps.googleapis.com/maps/api/staticmap?center=43.758034992722806%2C-79.48769811&zoom=20&size=640x640&scale=2&maptype=satellite&format=png&key=AIzaSyCZWUlRCSb7WxHNBWtMifWRW25GOWfbous,
